Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2798717610,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 99,99 ",0.102050,27/08/2024 18:14:30,28/08/2024 05:54:41,20," 0,30 ",0.00,"(3,47)",-,-," 19.597,92 "," 19.563,93 "," 20.087,46 "," 19.107,97 ","(0,54)",-,CFD,US6311011026,
2798686947,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.153118,27/08/2024 17:46:13,27/08/2024 17:52:23,20," 0,45 ",0.00," 3,03 ",-,-," 19.592,62 "," 19.612,38 "," 20.082,44 "," 19.102,81 "," 0,00 ",-,CFD,US6311011026,
2798273413,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 999,95 ",1.029868,27/08/2024 13:15:29,27/08/2024 17:36:57,20," 3,03 ",0.00," 188,91 ",-,-," 19.419,25 "," 19.602,68 "," 19.905,35 "," 18.933,78 "," 0,00 ",-,CFD,US6311011026,
2797485498,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.304187,26/08/2024 11:13:03,27/08/2024 17:36:57,20," 0,89 ",0.00,"(37,11)",-,-," 19.724,68 "," 19.602,68 "," 20.216,98 "," 19.231,57 ","(1,61)",-,CFD,US6311011026,
2797840866,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 799,99 ",0.821443,26/08/2024 14:35:01,27/08/2024 17:36:57,20," 2,42 ",0.00," 102,49 ",-,-," 19.477,91 "," 19.602,68 "," 19.971,21 "," 18.994,16 ","(4,34)",-,CFD,US6311011026,
2797466634,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 80,00 ",0.080974,26/08/2024 09:07:58,27/08/2024 17:36:57,20," 0,24 ",0.00,"(12,69)",-,-," 19.759,38 "," 19.602,68 "," 20.253,36 "," 19.265,40 ","(0,43)",-,CFD,US6311011026,
2797466241,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 139,99 ",0.141704,26/08/2024 09:04:33,27/08/2024 17:36:57,20," 0,42 ",0.00,"(22,22)",-,-," 19.759,48 "," 19.602,68 "," 20.253,47 "," 19.265,50 ","(0,75)",-,CFD,US6311011026,
2797511858,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 399,99 ",0.406083,26/08/2024 13:10:20,27/08/2024 17:36:57,20," 1,19 ",0.00,"(39,67)",-,-," 19.700,37 "," 19.602,68 "," 20.192,67 "," 19.207,86 ","(2,14)",-,CFD,US6311011026,
2797467104,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.202499,26/08/2024 09:12:59,27/08/2024 17:36:57,20," 0,60 ",0.00,"(30,48)",-,-," 19.753,18 "," 19.602,68 "," 20.247,01 "," 19.259,36 ","(1,07)",-,CFD,US6311011026,
2797464304,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 209,99 ",0.212525,26/08/2024 08:50:53,27/08/2024 17:36:57,20," 0,62 ",0.00,"(33,94)",-,-," 19.762,38 "," 19.602,68 "," 20.256,44 "," 19.268,33 ","(1,12)",-,CFD,US6311011026,
2797465632,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050579,26/08/2024 09:00:03,27/08/2024 17:36:57,20," 0,15 ",0.00,"(8,51)",-,-," 19.770,99 "," 19.602,68 "," 20.264,75 "," 19.276,72 ","(0,27)",-,CFD,US6311011026,
2797466351,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 110,00 ",0.111330,26/08/2024 09:05:03,27/08/2024 17:36:57,20," 0,33 ",0.00,"(17,62)",-,-," 19.760,98 "," 19.602,68 "," 20.254,29 "," 19.266,96 ","(0,59)",-,CFD,US6311011026,
2797463435,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050588,26/08/2024 08:46:39,27/08/2024 17:36:57,20," 0,15 ",0.00,"(8,32)",-,-," 19.767,18 "," 19.602,68 "," 20.261,15 "," 19.273,00 ","(0,27)",-,CFD,US6311011026,
2797462678,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050600,26/08/2024 08:42:32,27/08/2024 17:36:57,20," 0,15 ",0.00,"(8,09)",-,-," 19.762,48 "," 19.602,68 "," 20.256,85 "," 19.268,41 ","(0,27)",-,CFD,US6311011026,
2797462645,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050596,26/08/2024 08:42:17,27/08/2024 17:36:57,20," 0,15 ",0.00,"(8,18)",-,-," 19.764,38 "," 19.602,68 "," 20.259,00 "," 19.270,27 ","(0,27)",-,CFD,US6311011026,
2797463485,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 110,00 ",0.101170,26/08/2024 08:46:57,27/08/2024 17:36:57,20," 0,30 ",0.00,"(16,79)",-,-," 19.768,68 "," 19.602,68 "," 20.261,87 "," 19.175,62 ","(0,53)",-,CFD,US6311011026,
2797462326,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 110,00 ",0.101199,26/08/2024 08:40:39,27/08/2024 17:36:57,20," 0,30 ",0.00,"(16,21)",-,-," 19.762,88 "," 19.602,68 "," 20.256,95 "," 19.169,99 ","(0,53)",-,CFD,US6311011026,
2797462351,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050596,26/08/2024 08:40:56,27/08/2024 17:36:57,20," 0,15 ",0.00,"(8,18)",-,-," 19.764,28 "," 19.602,68 "," 20.258,39 "," 19.270,17 ","(0,27)",-,CFD,US6311011026,
2797376337,USD/JPY (USDJPY),Long," 340,00 ",10200.000000,25/08/2024 22:26:05,26/08/2024 11:12:27,30," 0,64 ",-0.35,"(25,22)",0.0069,0.0069," 144,35 "," 143,99 "," 144,42 "," 141,98 "," 0,00 ",-,CFD,,
2797460450,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050622,26/08/2024 08:26:15,26/08/2024 08:39:14,20," 0,15 ",0.00," 0,59 ",-,-," 19.753,78 "," 19.765,52 "," 20.247,62 "," 19.259,93 "," 0,00 ",-,CFD,US6311011026,
2797460656,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 90,00 ",0.091096,26/08/2024 08:27:49,26/08/2024 08:39:14,20," 0,27 ",0.00," 0,57 ",-,-," 19.759,28 "," 19.765,52 "," 20.253,16 "," 19.265,30 "," 0,00 ",-,CFD,US6311011026,
2797460888,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 70,00 ",0.070850,26/08/2024 08:29:27,26/08/2024 08:39:14,20," 0,21 ",0.00," 0,41 ",-,-," 19.759,78 "," 19.765,52 "," 20.253,47 "," 19.265,78 "," 0,00 ",-,CFD,US6311011026,
2797461133,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050612,26/08/2024 08:31:39,26/08/2024 08:39:14,20," 0,15 ",0.00," 0,39 ",-,-," 19.757,78 "," 19.765,52 "," 20.251,83 "," 19.263,83 "," 0,00 ",-,CFD,US6311011026,
